title,replies_count,date,author,status,upvotes,downvotes,abstain,aggregate_votes,payments_made,payments_total,DASH_monthly,DASH_total,USD_rate,USD_monthly,USD_total,type,type2
reimbursement,1,08/27/2015,eduffield,approved,1434,23,0,1411,1,1,"2,529.00","2,529.00",2.43,6145.47,6145.47,core,NA
Electrum Client/Server Implementation,0,09/23/2015,eduffield,approved,1132,2,0,1130,1,1,308.65,308.65,2.38,734.587,734.587,core,NA
Liquidity Provider,14,09/25/2015,eduffield,approved,828,92,0,736,1,1,127,127,2.38,302.26,302.26,core,NA
3rd Latin American Bitcoin Conference 2015,1,10/29/2015,eduffield,approved,722,29,0,693,1,1,"1,787.79","1,787.79",2.37,4237.0623,4237.0623,conference,NA
Dash.org domain name,3,12/1/2015,eduffield,approved,1661,242,0,1419,3,4,"2,100.00","6,300.00",2,4200,12600,core,NA
Dash Sponsorship in 10 episodes of The Daily Decrypt,45,12/22/2015,TheDailyDecrypt,approved,1121,487,0,634,1,1,150,150,2.58,387,387,marketing,NA
Instantx Soda Machine (correct proposal),6,1/2/2016,eduffield,approved,1176,522,0,654,1,1,590,590,3.65,2153.5,2153.5,marketing,NA
Block Size Limitation Increase,10,01/18/2016,eduffield,approved,2129,18,0,2111,1,1,5,5,4.75,23.75,23.75,governance,NA
Satoshi Roundtable Conference,29,01/28/2016,eduffield,approved,1040,77,0,963,2,2,717.7,"1,435.40",4.02,2885.154,5770.308,conference,NA
Wifi-Portal for Retail Instore Purchasing,7,02/02/2016,Solarminer,approved,1203,115,0,1088,1,1,200,200,3.66,732,732,application,NA
Catch Leftover Funding - 16,1,02/02/2016,eduffield,not_approved,53,390,0,-337,0,48,16,0,3.66,58.56,0,core,NA
Catch Leftover Funding - 1024,16,02/02/2016,eduffield,not_approved,41,368,0,-327,0,48,"1,024.00",0,3.66,3747.84,0,core,NA
Dash Core Team Xtra Payment (Corrected),6,2/4/2016,ddink7,approved,762,17,0,745,0,1,625,0,4.8,3000,0,core,NA
Dash to Fiat Payment Processor,39,02/23/2016,DartPayments,not_approved,839,1187,0,-348,1,3,400,400,3.78,1512,1512,application,NA
Dash World: Evolution in Marketing,14,03/09/2016,GreyGhost,not_approved,631,747,0,-116,0,4,"1,175.00",0,4.27,5017.25,0,marketing,NA
DashPayments for WooCommerce — WordPress Plugin,11,03/16/2016,nmarley,approved,982,109,0,873,1,1,788,788,6.27,4940.76,4940.76,application,NA
Electrum Maintenance,22,03/24/2016,eduffield,approved,1085,98,0,987,3,3,45.8,137.4,6.54,299.532,898.596,core,NA
Dash.org purchase - December Payment Replacement,13,03/29/2016,babygiraffe,approved,868,51,0,817,3,3,701.67,"2,105.01",7.08,4967.8236,14903.4708,core,NA
Liquidity Providers v2,4,04/14/2016,babygiraffe,approved,1238,129,0,1109,2,2,48.87,97.74,6.44,314.7228,629.4456,core,NA
