title,author,cohort,status,date,type,type2,replies_count,USD_proposed
Abolish the BitLicense for Cryptos,theochino,2017Q4,not_funded,08/18/2017,community,NA,4,40000
Avrorum - Promoting the use of Zcash in the business sector,Civilian47,2017Q4,not_funded,08/21/2017,application,NA,5,50000
Support for Community Web resources,mineZcash,2017Q4,withdrawn,08/29/2017,community,NA,8,2400
ORC (Onion Routed Cloud),bookchin,2017Q4,withdrawn,8/31/2017,application,NA,10,80000
ZCash Debit Card,CryptoFarm7,2017Q4,not_funded,9/10/2017,application,NA,12,80000
Zcash Education Outreach,techoluwoye,2017Q4,funded,9/10/2017,marketing,NA,25,5000
Zcash on Tor - Project Grant Proposal,xyZcash,2017Q4,funded,9/11/2017,application,NA,15,21000
Crypto Contacts,asbjornenge,2017Q4,withdrawn,09/12/2017,application,NA,7,5000
ZCash iOS SPV Wallet,0dayZh,2017Q4,not_submitted,09/12/2017,application,NA,4,45000
Guarda Zcash light wallet,AndrewGuarda,2017Q4,funded,09/13/2017,application,NA,51,60000
Zcash Latinoamerica - Education and Outreach,Rosmar,2017Q4,not_funded,09/15/2017,marketing,NA,8,33000
ZEC <-> XLM Service,zallarak,2017Q4,not_funded,09/15/2017,feature,NA,8,13000
Improved block explorer infrastructure,radix42,2017Q4,funded,09/15/2017,application,NA,24,8000
Improved proving key download infrastructure,radix42,2017Q4,withdrawn,09/15/2017,core,NA,7,NA
Improved multi-platform support,radix42,2017Q4,funded,09/15/2017,core,NA,7,8000
GUI Wallet improvements,radix42,2017Q4,withdrawn,09/15/2017,core,NA,11,NA
Enhancements to the ZCash Desktop GUI Wallet,vaklinov,2017Q4,funded,09/02/2017,core,design,24,NA
"Video production, animation and marketing",publicimage,2017Q4,funded,09/15/2017,marketing,NA,21,9500
Empirical analysis of the Zcash blockchain,feddan35,2017Q4,funded,09/15/2017,research,NA,20,24000
The fungibility of cryptocurrencies: lessons from the history of money,jpkoning,2017Q4,not_funded,09/15/2017,research,NA,5,7500
ZK-GPS location tracking for geo-accountability,tian0,2017Q4,not_funded,09/15/2017,application,NA,7,NA
Zcash plug-and-play full node software,john-light,2017Q4,not_funded,09/15/2017,application,NA,3,15000
Enable genZ with zCash,paulransfield,2017Q4,not_funded,09/15/2017,marketing,NA,5,90000
